Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/v3_0/atlases,42,0,71,129.81626930951708,35.052086999996845,998.3572149999986,3127.0,0.7093715526584451,0.0,72,110,140,140,140,490,1000,1000,1000,1000,1000
GET,/v3_0/feature/_types,20,0,150.0,235.92398629999994,22.33281900004158,1043.3620549999887,8002.0,0.33779597745640244,0.0,150,280,410,450,620,1000,1000,1000,1000,1000,1000
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,20,0,390.0,417.5426700499955,49.25722199999427,1118.5611679999852,246746.0,0.33779597745640244,0.0,470,590,630,780,920,1100,1100,1100,1100,1100,1100
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,20,20,340.0,497.25208730000213,63.48652100001573,1334.6642269999904,67.0,0.33779597745640244,0.33779597745640244,420,640,950,1000,1200,1300,1300,1300,1300,1300,1300
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,20,0,260.0,279.2437859500012,24.402309000038258,1092.6693680000028,50044.0,0.33779597745640244,0.0,260,350,470,550,560,1100,1100,1100,1100,1100,1100
GET,/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,21,0,260.0,263.3486436666615,25.6532639999989,727.5273139999854,1349.0,0.35468577632922255,0.0,260,300,470,510,540,560,730,730,730,730,730
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,20,0,60,217.46188019999832,25.933403000010458,1040.4397499999902,1290.0,0.33779597745640244,0.0,69,270,350,440,650,1000,1000,1000,1000,1000,1000
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,21,0,130.0,218.05758928571993,25.399903999982598,763.3240490000048,7333.0,0.35468577632922255,0.0,130,320,360,370,540,710,760,760,760,760,760
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,21,0,42,172.19064271428203,26.5957720000074,1376.0424030000422,5417.0,0.35468577632922255,0.0,42,52,230,260,360,450,1400,1400,1400,1400,1400
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,21,0,52,322.01571638095146,22.522689999988188,1085.4847869999844,3808.0,0.35468577632922255,0.0,52,400,450,560,1000,1100,1100,1100,1100,1100,1100
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/5,21,0,250.0,313.717305809528,26.217964000011307,1327.2355469999866,6084.0,0.35468577632922255,0.0,250,360,450,550,610,870,1300,1300,1300,1300,1300
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/6,21,0,260.0,334.10267742857116,22.128690999977607,1460.4720629999974,7673.0,0.35468577632922255,0.0,260,430,490,520,760,880,1500,1500,1500,1500,1500
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/79cbeaa4ee96d5d3dfe2876e9f74b3dc3d3ffb84304fb9b965b1776563a1069c,21,0,390.0,465.151018857149,203.48257899999567,1071.8569310000134,80016.0,0.35468577632922255,0.0,390,440,530,650,860,870,1100,1100,1100,1100,1100
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/12fca5c5-b02c-46ce-ab9f-f12babf4c7e1,21,0,74,266.9997914761936,35.10202699999354,1456.2988140000357,137262.0,0.35468577632922255,0.0,74,350,410,420,610,660,1500,1500,1500,1500,1500
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/141d510f-0342-4f94-ace7-c97d5f160235,21,0,68,201.8545014285686,23.98710500000334,1282.0375900000158,35323.0,0.35468577632922255,0.0,68,170,320,320,370,500,1300,1300,1300,1300,1300
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/63b5794f-79a4-4464-8dc1-b32e170f3d16,21,0,53,140.5129930952393,26.384820999993508,748.5427020000088,69432.0,0.35468577632922255,0.0,53,86,150,220,390,460,750,750,750,750,750
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/73f41e04-b7ee-4301-a828-4b298ad05ab8,21,0,70,258.944061047622,22.93154000000186,1249.6106930000224,19068.0,0.35468577632922255,0.0,70,160,410,420,660,950,1200,1200,1200,1200,1200
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579,21,0,350.0,378.2963777619056,28.570548999994116,860.2759679999963,88714.0,0.35468577632922255,0.0,350,550,610,620,820,840,860,860,860,860,860
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290,21,0,460.0,421.9300446190499,36.106764000010116,839.8175149999929,7149.0,0.35468577632922255,0.0,460,520,620,690,820,840,840,840,840,840,840
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-300,21,0,560.0,622.7817336666664,110.71489500000098,1895.1275170000486,142767.0,0.35468577632922255,0.0,560,760,790,800,910,1100,1900,1900,1900,1900,1900
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310,21,0,400.0,482.8821875238053,199.33919300001435,1097.7034040000149,184716.0,0.35468577632922255,0.0,400,550,580,600,780,800,1100,1100,1100,1100,1100
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/d80fbab2-ce7f-4901-a3a2-3c8ef8a3b721,21,0,66,180.44567899999768,22.62786500000402,825.0789510000232,10610.0,0.35468577632922255,0.0,66,260,280,280,410,460,830,830,830,830,830
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290,21,0,42,187.5383435714306,30.787563999979284,677.5146589999963,43308.0,0.35468577632922255,0.0,42,140,270,400,550,630,680,680,680,680,680
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=10,20,0,44,145.66780355000333,25.17228600001431,886.5893450000044,42812.0,0.33779597745640244,0.0,48,64,270,360,380,890,890,890,890,890,890
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=11,21,0,63,184.28812757142867,24.70471899999893,754.9861859999965,43068.0,0.35468577632922255,0.0,63,200,240,360,460,630,750,750,750,750,750
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=12,21,0,230.0,220.12112857142833,23.909281999976884,642.325416999995,23996.0,0.35468577632922255,0.0,230,260,270,280,450,570,640,640,640,640,640
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=2,20,0,61,232.88912374999026,26.462280000004057,882.7330400000051,42787.0,0.33779597745640244,0.0,65,140,560,570,670,880,880,880,880,880,880
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=3,20,0,200.0,369.7710603999995,26.805096999964917,1594.808506000021,42468.0,0.33779597745640244,0.0,250,470,560,630,980,1600,1600,1600,1600,1600,1600
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=4,20,0,85,313.3187701000011,23.452276000000438,1472.1454849999986,42814.0,0.33779597745640244,0.0,140,280,480,560,1200,1500,1500,1500,1500,1500,1500
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=5,20,0,360.0,459.5828901000062,29.748961999985113,1459.0723580000144,42717.0,0.33779597745640244,0.0,460,580,660,960,1200,1500,1500,1500,1500,1500,1500
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=6,20,0,200.0,293.76214265000164,28.210820999987618,1295.252787999999,42645.0,0.33779597745640244,0.0,220,340,460,470,960,1300,1300,1300,1300,1300,1300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=7,20,0,280.0,314.90289954999605,26.814575999992485,1262.440075000029,42812.0,0.33779597745640244,0.0,330,370,470,500,570,1300,1300,1300,1300,1300,1300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=8,20,0,120.0,252.7054970000051,26.33370799998147,1165.0266589999774,42681.0,0.33779597745640244,0.0,130,360,440,530,750,1200,1200,1200,1200,1200,1200
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=9,20,0,160.0,261.8045822499922,33.933195000003025,1175.8994850000022,42642.0,0.33779597745640244,0.0,180,280,360,450,550,1200,1200,1200,1200,1200,1200
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310,21,0,87,202.27849090475814,24.670737000008103,702.9222250000089,43020.0,0.35468577632922255,0.0,87,260,370,400,440,530,700,700,700,700,700
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=10,21,0,140.0,290.86928199999534,31.726016999982676,1411.528025999985,42419.0,0.35468577632922255,0.0,140,270,350,380,570,1100,1400,1400,1400,1400,1400
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=11,21,0,220.0,299.2857696666709,41.11923100003878,1244.2794109999795,42680.0,0.35468577632922255,0.0,220,270,370,410,620,1100,1200,1200,1200,1200,1200
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=12,21,0,70,233.57252999999946,23.5539880000033,1233.628187000022,44140.0,0.35468577632922255,0.0,70,160,240,280,550,1100,1200,1200,1200,1200,1200
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=13,21,0,270.0,283.5000725714348,24.95760900001187,986.4554410000324,43725.0,0.35468577632922255,0.0,270,330,380,400,500,730,990,990,990,990,990
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=14,21,0,80,274.96689433333114,24.157483000010416,1177.5305830000207,43273.0,0.35468577632922255,0.0,80,260,440,470,830,890,1200,1200,1200,1200,1200
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=15,21,0,67,122.20654200000543,23.176106999983404,411.7288280000082,44758.0,0.35468577632922255,0.0,67,130,160,210,280,290,410,410,410,410,410
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=16,21,0,260.0,279.37654614285776,31.7760460000045,686.9109259999959,18952.0,0.35468577632922255,0.0,260,340,440,450,540,580,690,690,690,690,690
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=2,21,0,290.0,391.8749195714281,35.05253699998434,1699.2268789999798,42319.0,0.35468577632922255,0.0,290,360,550,660,960,1100,1700,1700,1700,1700,1700
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=3,21,0,260.0,342.5466097142921,27.16902399998844,1555.0151770000298,42374.0,0.35468577632922255,0.0,260,320,470,500,650,1100,1600,1600,1600,1600,1600
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=4,21,0,140.0,296.2915456190531,25.174176000007265,1488.2613130000095,42641.0,0.35468577632922255,0.0,140,330,470,530,570,790,1500,1500,1500,1500,1500
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=5,21,0,230.0,343.87587361904014,34.11901199999079,1577.9477399999564,42794.0,0.35468577632922255,0.0,230,280,460,560,790,790,1600,1600,1600,1600,1600
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=6,21,0,110.0,216.11253847619125,26.23698899998317,632.1256949999565,42904.0,0.35468577632922255,0.0,110,260,280,440,550,560,630,630,630,630,630
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=7,20,0,100.0,258.08377859999894,27.18744699998865,745.2146069999799,42438.0,0.33779597745640244,0.0,260,300,460,560,640,750,750,750,750,750,750
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=8,21,0,130.0,198.8872355238075,29.593751999982487,564.6447439999918,42433.0,0.35468577632922255,0.0,130,280,340,350,440,510,560,560,560,560,560
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=9,21,0,62,279.58189976190323,28.09538999997585,1360.265064999993,42559.0,0.35468577632922255,0.0,62,240,450,560,760,840,1400,1400,1400,1400,1400
GET,/v3_0/spaces/minds/core/referencespace/v1.0.0/7f39f7be-445b-47c0-9791-e971c0b6d992,21,0,58,99.1024469523763,36.730836999993244,494.49377799999183,3357.0,0.35468577632922255,0.0,58,70,100,130,140,300,490,490,490,490,490
