Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/viewer/,29,0,14,26.619832448276306,11.19630400000915,169.7376459999873,5771.0,0.48375378455334506,0.0,14,16,16,23,64,140,170,170,170,170,170
GET,/viewer/assets/academicons/css/academicons.min.css,29,0,21,78.08665955172465,12.732353000018293,465.3225550000002,7768.0,0.48375378455334506,0.0,21,30,54,120,300,400,470,470,470,470,470
GET,/viewer/assets/fontawesome/css/all.min.css,29,0,22,56.37774479310529,13.46269100000086,279.1197170000146,59305.0,0.48375378455334506,0.0,22,29,56,120,170,210,280,280,280,280,280
GET,/viewer/assets/fontawesome/webfonts/fa-regular-400.woff2,28,0,230.0,206.3463135000002,8.657733999996253,494.055378000013,13224.0,0.46707261956874696,0.0,280,300,380,390,430,490,490,490,490,490,490
GET,/viewer/assets/fontawesome/webfonts/fa-solid-900.woff2,28,0,24,188.80563867856745,9.880406999997149,676.7065020000018,78268.0,0.46707261956874696,0.0,25,280,400,480,570,590,680,680,680,680,680
GET,/viewer/assets/logo/ebrains-logo-dark.svg,28,0,200.0,177.97847539285323,8.106269999984761,393.84713199999055,11876.0,0.46707261956874696,0.0,240,290,300,370,390,390,390,390,390,390,390
GET,/viewer/assets/logo/ebrains-logo-light.svg,28,0,15,106.62961735714605,8.16387000000418,380.0246790000017,11915.0,0.46707261956874696,0.0,19,71,280,290,350,380,380,380,380,380,380
GET,/viewer/catchSyntaxError.js,28,0,18,98.02811692857054,9.058221000003641,385.08786999997824,410.0,0.46707261956874696,0.0,19,38,280,280,380,380,390,390,390,390,390
GET,/viewer/chunk_worker.bundle.js,56,0,230.0,309.73676737499915,15.592829000013353,896.7023630000028,301361.0,0.9341452391374939,0.0,300,490,590,590,700,770,780,900,900,900,900
GET,/viewer/extra_js.js,29,0,200.0,173.9574457241388,12.9215439999939,399.4884569999897,47.0,0.48375378455334506,0.0,200,290,300,310,390,400,400,400,400,400,400
GET,/viewer/icons/iav-icons.css,29,0,21,105.5644421379366,14.7442410000167,505.48511499999904,518.0,0.48375378455334506,0.0,21,56,170,260,370,400,510,510,510,510,510
GET,/viewer/includeMatomo.js,28,0,27,139.8507771428571,8.166988999988689,566.3138640000227,843.0,0.46707261956874696,0.0,41,180,280,320,370,370,570,570,570,570,570
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/connectivity-component.js,29,0,390.0,441.055326620694,275.7295210000166,882.8673110000125,129703.0,0.48375378455334506,0.0,390,470,480,480,670,770,880,880,880,880,880
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-1122d015.system.js,28,0,290.0,220.49738696428585,8.777319999978772,499.76292200000216,20575.0,0.46707261956874696,0.0,290,380,400,460,490,500,500,500,500,500,500
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-a3eb4831.system.js,28,0,17,164.79690628571274,8.70166900000413,494.9743260000048,2309.0,0.46707261956874696,0.0,18,280,300,390,490,490,490,490,490,490,490
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-ec904422.system.js,28,0,16,183.25269110714157,8.11688400000321,671.2580779999939,1969.0,0.46707261956874696,0.0,17,320,390,400,480,480,670,670,670,670,670
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-fba65a86.system.js,28,0,180.0,212.1884599642842,8.740921999986995,821.9496609999908,2280.0,0.46707261956874696,0.0,190,330,390,390,450,470,820,820,820,820,820
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/ng-layer-tune.esm.js,29,0,290.0,337.66613389655396,186.2667990000091,673.9552880000019,945.0,0.48375378455334506,0.0,290,370,380,390,480,570,670,670,670,670,670
