Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1754662437,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754662438,1,,Aggregated,0.000000,0.000000,140,220,230,310,350,400,400,400,400,400,400,19,1,140.0,183.96198468420712,70.21932500001071,396.65486900000246,107930.15789473684
1754662439,1,,Aggregated,0.000000,0.000000,200,230,320,320,400,1100,1500,1500,1500,1500,1500,36,1,170.0,266.28274188888673,14.114594000005809,1532.3812519999933,165403.19444444444
1754662440,1,,Aggregated,0.000000,0.000000,170,230,280,320,400,900,1500,1500,1500,1500,1500,49,1,170.0,248.07586279591683,14.114594000005809,1532.3812519999933,174986.6530612245
1754662441,1,,Aggregated,18.000000,1.000000,200,240,330,390,620,930,1400,1500,1500,1500,1500,68,2,170.0,276.72202623529284,8.695339000013291,1532.3812519999933,150108.8088235294
1754662442,1,,Aggregated,16.333333,0.333333,170,280,320,370,590,930,1500,2000,2000,2000,2000,89,3,170.0,267.6936760337063,8.204817000006415,2025.6156319999832,152125.49438202247
1754662443,1,,Aggregated,16.333333,0.333333,190,300,370,390,620,1100,1400,1500,2000,2000,2000,103,3,190.0,282.05518982524217,8.204817000006415,2025.6156319999832,154069.5922330097
1754662444,1,,Aggregated,17.400000,0.400000,170,300,370,390,620,1100,1500,1900,2000,2000,2000,119,3,170.0,284.84279175630223,7.760598000004393,2025.6156319999832,175326.8907563025
1754662445,1,,Aggregated,17.400000,0.400000,190,300,380,400,620,1100,1500,1900,2000,2000,2000,136,4,170.0,284.1263309044114,7.760598000004393,2025.6156319999832,161958.625
1754662446,1,,Aggregated,16.285714,0.428571,170,300,380,400,620,1100,1500,2000,2100,2100,2100,151,4,170.0,286.59622223840984,7.760598000004393,2130.0077549999796,170045.02649006623
1754662447,1,,Aggregated,16.285714,0.428571,170,300,380,400,620,1100,1500,2000,2100,2100,2100,167,5,170.0,284.0272394011972,7.159481999991613,2130.0077549999796,163414.2275449102
1754662448,1,,Aggregated,16.666667,0.444444,190,300,380,400,620,1100,1800,2000,2100,2100,2100,187,5,190.0,290.44661328342227,7.159481999991613,2130.0077549999796,162448.66310160427
1754662449,1,,Aggregated,16.700000,0.500000,200,310,380,400,620,1200,1800,2000,2100,2100,2100,196,6,190.0,292.22656735204055,7.159481999991613,2130.0077549999796,158947.6887755102
1754662450,1,,Aggregated,16.700000,0.400000,200,320,390,440,690,1200,1800,2000,2100,2100,2100,209,6,200.0,306.77726911483245,7.159481999991613,2130.0077549999796,162759.62200956937
1754662451,1,,Aggregated,16.100000,0.500000,200,320,390,440,690,1200,1900,2000,2700,2700,2700,218,6,190.0,311.0561534770643,7.159481999991613,2733.021815000001,164071.9633027523
1754662452,1,,Aggregated,15.800000,0.500000,200,320,390,440,690,1200,1900,2000,2700,2700,2700,242,7,190.0,301.41122456611555,7.159481999991613,2733.021815000001,162089.38842975206
1754662453,1,,Aggregated,14.700000,0.400000,190,320,390,470,690,1200,1800,2000,2700,2700,2700,258,7,190.0,302.89678051937955,7.159481999991613,2733.021815000001,171507.47286821707
1754662454,1,,Aggregated,15.200000,0.500000,190,300,390,470,690,1200,1800,2000,2700,2700,2700,279,8,190.0,300.31820014695313,7.159481999991613,2733.021815000001,169493.1577060932
1754662455,1,,Aggregated,15.000000,0.400000,190,300,390,470,690,1200,1800,2000,2700,2700,2700,286,8,190.0,298.7821049020978,7.159481999991613,2733.021815000001,166658.34265734267
1754662456,1,,Aggregated,16.300000,0.500000,190,300,390,470,690,1200,1700,2000,2700,2700,2700,308,9,190.0,299.1573980487011,7.159481999991613,2733.021815000001,161838.30194805196
1754662457,1,,Aggregated,16.300000,0.500000,190,300,390,480,690,1200,1800,2000,2700,2700,2700,314,9,190.0,304.7137260859871,7.159481999991613,2733.021815000001,165168.76751592357
1754662458,1,,Aggregated,15.300000,0.500000,190,300,390,480,690,1200,1900,2000,2700,2700,2700,333,10,190.0,302.423985438438,7.159481999991613,2733.021815000001,167731.4054054054
1754662459,1,,Aggregated,14.700000,0.400000,190,300,390,480,700,1200,1800,2000,2700,2700,2700,355,10,190.0,302.96618791830946,7.159481999991613,2733.021815000001,167776.98309859156
1754662460,1,,Aggregated,14.400000,0.400000,190,300,390,440,690,1200,1800,2000,2700,2700,2700,371,11,190.0,298.11125916711546,7.159481999991613,2733.021815000001,164104.50673854447
1754662461,1,,Aggregated,15.400000,0.400000,190,300,390,430,690,1200,1800,2000,2700,2700,2700,391,11,190.0,301.0509884322246,7.159481999991613,2733.021815000001,167543.7851662404
1754662462,1,,Aggregated,16.200000,0.500000,190,300,380,400,690,1200,1700,2000,2700,2700,2700,412,12,190.0,297.84281731553364,7.159481999991613,2733.021815000001,168177.4708737864
1754662463,1,,Aggregated,16.900000,0.500000,180,290,380,400,690,1200,1700,2000,2700,2700,2700,427,12,180.0,296.20827688056187,7.159481999991613,2733.021815000001,167351.77283372366
1754662464,1,,Aggregated,16.800000,0.500000,190,300,380,400,690,1200,1700,2000,2700,2700,2700,446,13,190.0,295.99784379596395,7.159481999991613,2733.021815000001,168665.3004484305
1754662465,1,,Aggregated,17.200000,0.500000,190,300,380,400,690,1200,1700,2000,2700,2700,2700,467,13,190.0,294.70271300642366,7.159481999991613,2733.021815000001,170505.40256959313
1754662466,1,,Aggregated,17.200000,0.500000,190,300,380,400,690,1200,1700,2000,2700,2700,2700,481,14,190.0,293.8602041434507,7.159481999991613,2733.021815000001,167255.6133056133
1754662467,1,,Aggregated,17.600000,0.500000,180,300,380,400,690,1200,1700,2000,2700,2700,2700,515,15,180.0,290.4749643572811,7.159481999991613,2733.021815000001,170390.56310679612
1754662468,1,,Aggregated,17.800000,0.500000,180,300,380,400,690,1200,1700,2000,2700,2700,2700,533,15,180.0,288.8770184502812,7.159481999991613,2733.021815000001,168309.83864915572
1754662469,1,,Aggregated,19.100000,0.500000,180,290,380,400,690,1200,1700,2000,2700,2700,2700,557,16,180.0,286.55088460502674,7.159481999991613,2733.021815000001,167304.2262118492
1754662470,1,,Aggregated,19.100000,0.500000,180,290,380,400,680,1200,1700,2000,2700,2700,2700,571,16,180.0,286.1406913257441,7.159481999991613,2733.021815000001,168321.38528896673
1754662471,1,,Aggregated,20.200000,0.600000,180,290,380,400,690,1200,1700,2000,2700,2700,2700,587,17,180.0,286.76749223850067,7.159481999991613,2733.021815000001,166349.79045996594
1754662472,1,,Aggregated,20.200000,0.500000,180,290,380,400,690,1200,1700,2000,2700,2700,2700,601,17,180.0,291.5958065474208,7.159481999991613,2733.021815000001,168389.4908485857
1754662473,1,,Aggregated,20.300000,0.600000,180,300,380,400,690,1200,1700,2000,2700,2700,2700,617,18,180.0,291.26914782495925,7.159481999991613,2733.021815000001,168910.85899513777
1754662474,1,,Aggregated,18.700000,0.500000,180,290,380,400,690,1200,1700,2000,2700,2700,2700,637,18,180.0,289.8401449434848,7.159481999991613,2733.021815000001,168212.9843014129
1754662475,1,,Aggregated,18.600000,0.600000,180,290,380,400,690,1200,1700,2000,2700,2700,2700,655,19,180.0,289.2371845007631,7.159481999991613,2733.021815000001,166889.2458015267
1754662476,1,,Aggregated,19.000000,0.500000,180,290,380,400,690,1200,1700,2000,2700,2700,2700,669,19,180.0,291.80019615097126,7.159481999991613,2733.021815000001,169056.84155455904
1754662477,1,,Aggregated,19.200000,0.600000,180,290,380,400,690,1200,1700,2000,2700,2700,2700,689,20,180.0,288.61071168505043,7.159481999991613,2733.021815000001,166142.65457184325
1754662478,1,,Aggregated,19.200000,0.600000,180,290,380,400,690,1200,1800,2000,2700,2700,2700,699,20,180.0,292.4612157639482,7.159481999991613,2733.021815000001,167809.98140200286
1754662479,1,,Aggregated,17.900000,0.600000,180,290,380,400,690,1200,1800,2000,2700,2700,2700,712,20,170.0,293.14362315870756,7.159481999991613,2733.021815000001,168985.1797752809
1754662480,1,,Aggregated,16.800000,0.500000,180,290,380,400,690,1200,1800,2000,2700,2700,2700,731,21,180.0,293.5779948604648,7.159481999991613,2733.021815000001,168172.9124487004
1754662481,1,,Aggregated,15.300000,0.400000,170,290,380,430,690,1200,1800,2000,2700,2700,2700,741,21,170.0,294.5347430242912,7.159481999991613,2733.021815000001,168686.99055330633
1754662482,1,,Aggregated,15.400000,0.500000,180,290,380,430,690,1200,1800,2000,2700,2700,2700,756,22,170.0,293.8594101653435,7.159481999991613,2733.021815000001,167132.6150793651
1754662483,1,,Aggregated,14.700000,0.400000,180,300,380,430,690,1200,1800,2000,2700,2700,2700,769,22,180.0,295.4124989180751,7.159481999991613,2733.021815000001,168006.06631989597
1754662484,1,,Aggregated,15.600000,0.400000,170,300,380,430,690,1200,1800,2000,2700,2700,2700,787,23,170.0,294.5649029250315,7.159481999991613,2733.021815000001,168052.52858958067
1754662485,1,,Aggregated,15.700000,0.400000,170,300,380,430,690,1200,1800,2000,2700,2700,2700,803,23,170.0,293.87081190784534,7.159481999991613,2733.021815000001,166571.2092154421
1754662486,1,,Aggregated,14.400000,0.400000,180,300,380,430,690,1200,1800,2000,2700,2700,2700,819,23,180.0,296.0643193089131,7.159481999991613,2733.021815000001,168764.6507936508
1754662487,1,,Aggregated,14.800000,0.400000,180,300,380,400,690,1200,1800,2000,2700,2700,2700,839,24,180.0,295.3138986758042,7.159481999991613,2733.021815000001,168169.43146603098
1754662488,1,,Aggregated,15.100000,0.400000,170,290,380,400,690,1200,1800,2000,2700,2700,2700,849,24,170.0,294.6256443969373,7.159481999991613,2733.021815000001,168252.382803298
1754662489,1,,Aggregated,15.200000,0.400000,170,290,380,400,690,1200,1800,2000,2700,2700,2700,869,25,170.0,293.48687964096627,7.159481999991613,2733.021815000001,167145.45569620252
1754662490,1,,Aggregated,14.800000,0.400000,180,290,380,430,690,1300,1800,2000,2700,2700,2700,880,25,170.0,297.0125018624997,7.159481999991613,2733.021815000001,169014.46704545454
1754662491,1,,Aggregated,15.600000,0.500000,180,290,380,400,690,1200,1800,2000,2700,2700,2700,895,25,180.0,295.9070025195529,7.159481999991613,2733.021815000001,169571.0245810056
1754662492,1,,Aggregated,15.600000,0.500000,180,300,380,400,690,1200,1800,2000,2700,2700,2700,909,26,180.0,295.6833251782177,7.159481999991613,2733.021815000001,168623.3399339934
1754662493,1,,Aggregated,15.300000,0.400000,170,290,380,400,690,1200,1800,2000,2700,2700,2700,929,27,170.0,294.26406480516664,7.159481999991613,2733.021815000001,167981.1248654467
1754662494,1,,Aggregated,15.900000,0.500000,180,290,380,400,690,1200,1800,2000,2700,2700,2700,942,27,180.0,294.80805117515905,7.159481999991613,2733.021815000001,166932.37367303608
1754662495,1,,Aggregated,15.500000,0.400000,170,290,380,400,690,1300,1900,2000,2700,2700,2700,954,27,170.0,296.9154799192871,7.159481999991613,2733.021815000001,168439.9601677149
1754662496,1,,Aggregated,16.000000,0.500000,180,300,380,430,690,1200,1900,2000,2700,2700,2700,971,28,180.0,297.26644718846524,7.159481999991613,2733.021815000001,169374.05561277035
1754662497,1,,Aggregated,15.200000,0.400000,180,300,380,440,690,1200,1900,2000,2700,2700,2700,988,28,180.0,297.89292781578905,7.159481999991613,2733.021815000001,168794.44939271256
