Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/0-64_0-42_0-49,13,0,8,10.271756307695604,5.4784120000022085,38.05331399999545,11988.0,0.22001230562519497,0.0,8,9,9,10,10,38,38,38,38,38,38
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/64-81_0-42_0-49,13,0,9,8.444687923077236,5.739844000004268,10.752531000008503,2048.0,0.22001230562519497,0.0,9,9,10,10,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,13,0,7,6.973369307694646,5.293681000011929,8.996547999998938,766.0,0.22001230562519497,0.0,7,8,8,8,8,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,13,0,8,8.384871076928517,5.345068999986324,11.739906999991945,38.0,0.22001230562519497,0.0,8,9,9,11,11,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,39,0,7,8.26640712820793,5.476600999998027,40.3557669999941,110.0,0.660036916875585,0.0,7,8,8,9,10,10,40,40,40,40,40
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/0-64_0-40_0-60,13,0,8,8.590257076922224,7.846821000015325,9.669747999993206,10388.0,0.22001230562519497,0.0,8,9,9,9,9,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/64-76_0-40_0-60,13,0,9,9.142158769232257,7.186086000018577,11.958630000009407,2256.0,0.22001230562519497,0.0,9,10,10,10,11,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,13,0,7,7.816016461543558,5.846854999987272,10.522279000014123,767.0,0.22001230562519497,0.0,7,9,9,10,10,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,13,0,7,7.883347846153845,5.541399000009051,10.695026999997026,38.0,0.22001230562519497,0.0,7,8,10,10,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,39,0,7,7.696098205128576,5.400624999992942,11.595559999989291,109.0,0.660036916875585,0.0,7,8,9,9,10,11,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,13,0,8,7.553726846159984,5.36877000001823,9.198308000009092,543.0,0.22001230562519497,0.0,8,8,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,13,0,8,7.921071538462981,5.986164999995935,9.38966299997901,38.0,0.22001230562519497,0.0,8,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/transform.json,39,0,8,8.059271923076931,5.756862000026786,11.167638999978635,111.0,0.660036916875585,0.0,8,8,9,10,10,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/80um/0-64_0-36_0-56,12,0,18,17.30830083333264,7.70674299999996,26.270659000005026,10004.0,0.2030882821155646,0.0,19,20,21,21,23,26,26,26,26,26,26
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/info,13,0,8,9.950070538457986,6.502114999989317,32.02496599999449,767.0,0.22001230562519497,0.0,8,8,8,11,11,32,32,32,32,32,32
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/mesh/info,13,0,8,8.594380384614361,5.950492000010854,11.113654000013184,38.0,0.22001230562519497,0.0,8,9,9,9,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/transform.json,39,0,8,9.18405333333083,5.407364999996389,33.58455200000776,109.0,0.660036916875585,0.0,8,9,9,10,11,31,34,34,34,34,34
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/info,13,0,8,8.288274384616793,5.962097999997695,10.728783000018893,542.0,0.22001230562519497,0.0,8,9,10,10,10,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/mesh/info,13,0,8,7.969890923076351,5.401215000006232,12.67686699998194,38.0,0.22001230562519497,0.0,8,8,8,10,10,13,13,13,13,13,13
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/transform.json,39,0,8,8.569034051285703,5.293399000009913,33.09837999998422,110.0,0.660036916875585,0.0,8,8,9,9,12,13,33,33,33,33,33
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/40um/0-64_0-64_0-64,12,0,13,16.09546825000289,9.524776999995765,37.65533600000026,15956.0,0.2030882821155646,0.0,13,13,15,15,36,38,38,38,38,38,38
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/40um/0-64_64-72_0-64,12,0,11,11.27159925000143,6.751774999997906,15.937535999995589,848.0,0.2030882821155646,0.0,11,13,14,14,16,16,16,16,16,16,16
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/info,13,0,7,7.606915769221482,5.841934999978093,10.078905000000304,541.0,0.22001230562519497,0.0,7,8,9,9,9,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/mesh/info,13,0,8,8.105774846152022,5.912874999978612,11.261724999997114,38.0,0.22001230562519497,0.0,8,9,9,9,10,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/transform.json,39,0,8,8.136467641026439,5.522263000017347,12.092577999993637,109.0,0.660036916875585,0.0,8,8,9,9,11,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/info,13,0,8,8.433106307692766,5.300274999996191,11.778342000013708,768.0,0.22001230562519497,0.0,8,9,9,10,11,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/mesh/info,13,0,7,7.583369999996246,5.947144000003846,10.160548999976982,38.0,0.22001230562519497,0.0,7,8,8,9,9,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/transform.json,39,0,8,12.920844615387331,5.271135000015192,71.57994300001747,111.0,0.660036916875585,0.0,8,9,10,12,35,57,72,72,72,72,72
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/80um/0-64_0-61_64-66,13,0,9,8.583035384615501,6.074446000013722,10.215350000009948,592.0,0.22001230562519497,0.0,9,9,10,10,10,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/80um/64-89_0-61_64-66,13,0,8,8.468907153843912,5.420738999987407,11.516319000008934,264.0,0.22001230562519497,0.0,8,9,9,10,11,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/info,13,0,8,8.192783461538511,6.491212000014457,10.770190000016555,768.0,0.22001230562519497,0.0,8,9,9,9,9,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/mesh/info,13,0,7,7.365381461539755,5.433766999999534,9.628495999976394,38.0,0.22001230562519497,0.0,7,8,9,9,9,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/transform.json,39,0,8,11.796386153845216,5.392729999982748,55.74734300000728,109.0,0.660036916875585,0.0,8,8,9,10,34,51,56,56,56,56,56
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/info,13,0,8,8.059535230772168,5.3108259999987695,12.115031999996972,768.0,0.22001230562519497,0.0,8,9,9,10,10,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/mesh/info,13,0,7,7.552963923077327,5.41127500000016,10.102302000007057,38.0,0.22001230562519497,0.0,7,8,8,9,9,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/transform.json,39,0,8,9.332709641025525,5.244676999978992,51.67510600000469,110.0,0.660036916875585,0.0,8,9,10,11,12,13,52,52,52,52,52
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_right/info,13,0,8,7.6662910769278785,6.1933630000226,8.786364999991747,767.0,0.22001230562519497,0.0,8,8,8,8,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_right/mesh/info,13,0,8,8.061939076922132,6.428257999999687,11.020970000004127,38.0,0.22001230562519497,0.0,8,9,9,9,9,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_right/transform.json,39,0,8,8.609873487178021,5.421149999989439,32.90679199997726,109.0,0.660036916875585,0.0,8,8,9,9,11,15,33,33,33,33,33
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_left/info,13,0,7,6.740922384610625,5.294057999975621,9.255886000005376,768.0,0.22001230562519497,0.0,7,7,7,8,8,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_left/mesh/info,13,0,8,7.784189538463911,5.825820000012527,9.555992999992213,38.0,0.22001230562519497,0.0,8,8,9,9,9,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_left/transform.json,39,0,8,8.614044435899196,5.323177999997597,37.562269999995124,111.0,0.660036916875585,0.0,8,8,9,9,11,12,38,38,38,38,38
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/80um/0-64_0-64_64-80,13,0,8,8.118928846156537,6.502345000001242,10.122150000000829,2064.0,0.22001230562519497,0.0,8,9,9,9,10,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/80um/0-64_64-72_64-80,13,0,8,8.825456461540153,5.453450000004523,15.060323999989578,136.0,0.22001230562519497,0.0,8,9,10,10,12,15,15,15,15,15,15
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/80um/64-89_0-64_64-80,13,0,8,8.041444769236687,6.483163000012837,11.153172000007316,520.0,0.22001230562519497,0.0,8,8,9,9,10,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/80um/64-89_64-72_64-80,13,0,8,7.7643666923126355,5.851941999992505,9.703446000003169,72.0,0.22001230562519497,0.0,8,8,9,9,10,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/info,13,0,8,7.517309923077146,5.410913999980949,9.015615999999227,768.0,0.22001230562519497,0.0,8,8,8,8,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/mesh/info,13,0,8,7.784277692306974,5.411116000004768,9.568931999979213,38.0,0.22001230562519497,0.0,8,9,9,9,9,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/transform.json,39,0,8,8.21942484615207,5.304158999990705,29.344656999995777,109.0,0.660036916875585,0.0,8,8,9,9,10,12,29,29,29,29,29
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/80um/0-64_0-64_64-72,13,0,8,8.013248769226667,5.985520999985283,10.80415600000606,976.0,0.22001230562519497,0.0,8,9,9,9,10,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/80um/0-64_64-81_64-72,13,0,8,7.7847859230775365,6.103502999991406,9.683042000006026,200.0,0.22001230562519497,0.0,8,8,9,9,9,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/80um/64-71_0-64_64-72,13,0,8,8.172788615382842,5.407496000003675,10.66037500001471,72.0,0.22001230562519497,0.0,8,9,9,10,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/80um/64-71_64-81_64-72,13,0,8,8.590106230774207,6.027551000016729,13.405898000002026,32.0,0.22001230562519497,0.0,8,8,10,12,12,13,13,13,13,13,13
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/info,13,0,8,11.796745692309356,5.403763999993316,61.452948999999535,768.0,0.22001230562519497,0.0,8,8,8,10,11,61,61,61,61,61,61
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/mesh/info,13,0,7,7.660472307693366,5.935520999997834,10.220107000009193,38.0,0.22001230562519497,0.0,7,8,8,8,9,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/transform.json,39,0,8,9.065731179488852,5.448341999994,42.67653499999824,111.0,0.660036916875585,0.0,8,9,10,10,13,14,43,43,43,43,43
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_right/80um/0-64_0-63_64-82,13,0,9,8.906720615381293,5.344277999995484,13.393896999986055,3152.0,0.22001230562519497,0.0,9,9,10,10,11,13,13,13,13,13,13
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_right/80um/64-96_0-63_64-82,13,0,9,9.876324538459777,5.652491999995846,31.18154499998127,776.0,0.22001230562519497,0.0,9,9,10,10,10,31,31,31,31,31,31
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_right/info,13,0,9,12.038850999999795,5.963527000005797,59.56117499999891,768.0,0.22001230562519497,0.0,9,9,9,10,10,60,60,60,60,60,60
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_right/mesh/info,13,0,8,7.76681476922975,5.476787999981525,9.467734999986988,38.0,0.22001230562519497,0.0,8,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_right/transform.json,39,0,8,10.240716256411075,5.424762000018291,42.89538700001572,109.0,0.660036916875585,0.0,8,8,9,9,11,42,43,43,43,43,43
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_left/info,13,0,8,11.212951153842491,5.877665999975079,57.591442999978426,768.0,0.22001230562519497,0.0,8,8,8,9,9,58,58,58,58,58,58
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_left/mesh/info,13,0,8,7.415171230766541,5.384128999992299,9.57804600000145,38.0,0.22001230562519497,0.0,8,8,8,8,9,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_left/transform.json,39,0,8,9.579666461538258,5.388300999982221,43.20136999999136,111.0,0.660036916875585,0.0,8,8,9,9,12,42,43,43,43,43,43
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_right/80um/0-64_0-63_64-67,13,0,8,8.300737538460313,5.889660000008234,13.764759999986609,912.0,0.22001230562519497,0.0,8,8,9,10,11,14,14,14,14,14,14
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_right/80um/64-81_0-63_64-67,13,0,8,7.888931384612236,5.9647509999933845,10.801119999996445,200.0,0.22001230562519497,0.0,8,8,9,9,9,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_right/info,13,0,7,12.53018123076161,5.722393999974429,78.22607999997899,768.0,0.22001230562519497,0.0,7,8,8,8,8,78,78,78,78,78,78
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_right/mesh/info,13,0,8,7.835118461538461,5.9414859999833425,10.533813999984432,38.0,0.22001230562519497,0.0,8,8,9,9,9,11,11,11,11,11,11
