Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/0-64_0-42_0-49,1,0,94.84549300000822,94.84549300000822,94.84549300000822,94.84549300000822,11988.0,0.016886852879106427,0.0,95,95,95,95,95,95,95,95,95,95,95
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/64-81_0-42_0-49,1,0,97.5811730000089,97.5811730000089,97.5811730000089,97.5811730000089,2048.0,0.016886852879106427,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,2,0,97.08891600001834,97.64295500001197,97.08891600001834,98.19699400000559,766.0,0.033773705758212855,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,2,0,98.1719090000297,99.50605650001876,98.1719090000297,100.84020400000782,38.0,0.033773705758212855,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,6,0,97,97.71993200000868,94.86489900001516,101.8317030000162,110.0,0.10132111727463855,0.0,98,98,99,99,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/0-64_0-40_0-60,1,0,98.75879000000509,98.75879000000509,98.75879000000509,98.75879000000509,10388.0,0.016886852879106427,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/64-76_0-40_0-60,1,0,98.47988500001748,98.47988500001748,98.47988500001748,98.47988500001748,2256.0,0.016886852879106427,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,2,0,97.92942699999685,97.75993099998459,97.59043499997233,97.92942699999685,767.0,0.033773705758212855,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,2,0,96.41984000001003,97.96482100000503,96.41984000001003,99.50980200000004,38.0,0.033773705758212855,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,6,0,96,97.97830400000389,95.56335299998864,104.21383800002104,109.0,0.10132111727463855,0.0,97,97,98,98,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,2,0,99.00748000001158,99.02679150000893,99.00748000001158,99.04610300000627,543.0,0.033773705758212855,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,2,0,95.47185899998567,97.01379699998824,95.47185899998567,98.55573499999082,38.0,0.033773705758212855,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/transform.json,6,0,97,97.53585433332053,96.18958300001168,98.76852900001154,111.0,0.10132111727463855,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/80um/0-64_0-36_0-56,1,0,108.36590099995647,108.36590099995647,108.36590099995647,108.36590099995647,10004.0,0.016886852879106427,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/info,2,0,95.08540100000573,95.46744249999506,95.08540100000573,95.84948399998439,767.0,0.033773705758212855,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/mesh/info,2,0,96.09268999997767,96.4764904999953,96.09268999997767,96.86029100001292,38.0,0.033773705758212855,0.0,97,97,97,97,97,97,97,97,97,97,97
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/transform.json,6,0,97,99.12338766665603,96.05919999998491,109.68702899998561,109.0,0.10132111727463855,0.0,98,98,98,98,110,110,110,110,110,110,110
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/info,2,0,99,99.76569199999119,98.92965899996398,100.6017250000184,542.0,0.033773705758212855,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/mesh/info,2,0,99,243.07809349998877,98.7758509999992,387.38033599997834,38.0,0.033773705758212855,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/transform.json,6,0,98,97.71993283332847,96.45552999998586,98.64783699998725,110.0,0.10132111727463855,0.0,98,98,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/40um/0-64_0-64_0-64,1,0,124.60400699995944,124.60400699995944,124.60400699995944,124.60400699995944,15956.0,0.016886852879106427,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/40um/0-64_64-72_0-64,1,0,128.8623479999842,128.8623479999842,128.8623479999842,128.8623479999842,848.0,0.016886852879106427,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/info,2,0,96.1743090000482,97.01498150002408,96.1743090000482,97.85565399999996,541.0,0.033773705758212855,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/mesh/info,2,0,96.31170999998062,97.88346550000426,96.31170999998062,99.4552210000279,38.0,0.033773705758212855,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/transform.json,6,0,98,98.10951483334425,95.51352200003294,102.2275269999966,109.0,0.10132111727463855,0.0,98,98,99,99,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/info,2,0,96.22502100000929,96.82128149999869,96.22502100000929,97.41754199998809,768.0,0.033773705758212855,0.0,97,97,97,97,97,97,97,97,97,97,97
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/mesh/info,2,0,95.47773600002074,97.29070950000107,95.47773600002074,99.1036829999814,38.0,0.033773705758212855,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/transform.json,6,0,97,97.92810583333278,96.1402340000177,99.52576999998541,111.0,0.10132111727463855,0.0,99,99,99,99,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/80um/0-64_0-61_64-66,1,0,97.51651999999922,97.51651999999922,97.51651999999922,97.51651999999922,592.0,0.016886852879106427,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/80um/64-89_0-61_64-66,1,0,97.62359399999809,97.62359399999809,97.62359399999809,97.62359399999809,264.0,0.016886852879106427,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/info,2,0,99,98.9220265000057,98.62645399999792,99.21759900001348,768.0,0.033773705758212855,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/mesh/info,2,0,96,95.95663150000178,95.5735910000044,96.33967199999915,38.0,0.033773705758212855,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/transform.json,6,0,97,97.04988149999376,95.45529299998634,98.95964399999002,109.0,0.10132111727463855,0.0,97,97,98,98,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/info,2,0,96,96.658746999978,95.53121899995176,97.78627500000425,768.0,0.033773705758212855,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/mesh/info,2,0,98.25620999998819,98.72031899999456,98.25620999998819,99.18442800000093,38.0,0.033773705758212855,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/transform.json,6,0,96,96.86417116666253,94.86752099999762,98.66983900002424,110.0,0.10132111727463855,0.0,97,97,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_right/info,2,0,97.6926609999964,97.66163849999998,97.63061600000356,97.6926609999964,767.0,0.033773705758212855,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_right/mesh/info,2,0,96,97.03448400000525,95.56493100001262,98.50403699999788,38.0,0.033773705758212855,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_right/transform.json,6,0,96,97.37721933332939,95.88226999994731,98.9411130000235,109.0,0.10132111727463855,0.0,98,98,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_left/info,2,0,95,97.36709700001711,94.86530800000992,99.8688860000243,768.0,0.033773705758212855,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_left/mesh/info,2,0,98.2196189999911,98.79637950000131,98.2196189999911,99.37314000001152,38.0,0.033773705758212855,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_left/transform.json,6,0,98,97.42402433334973,96.12419399999794,98.7587100000269,111.0,0.10132111727463855,0.0,98,98,98,98,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/80um/0-64_0-64_64-80,1,0,97.51911199998631,97.51911199998631,97.51911199998631,97.51911199998631,2064.0,0.016886852879106427,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/80um/0-64_64-72_64-80,1,0,98.89622699998313,98.89622699998313,98.89622699998313,98.89622699998313,136.0,0.016886852879106427,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/80um/64-89_0-64_64-80,1,0,97.81243899999481,97.81243899999481,97.81243899999481,97.81243899999481,520.0,0.016886852879106427,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/80um/64-89_64-72_64-80,1,0,97.68122399998447,97.68122399998447,97.68122399998447,97.68122399998447,72.0,0.016886852879106427,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/info,2,0,98,98.09826950002787,97.71646700005476,98.48007200000097,768.0,0.033773705758212855,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/mesh/info,2,0,95,95.00313699999197,94.61832599998843,95.3879479999955,38.0,0.033773705758212855,0.0,95,95,95,95,95,95,95,95,95,95,95
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/transform.json,6,0,96,97.25285850001342,95.5760940000232,98.86180300003389,109.0,0.10132111727463855,0.0,98,98,98,98,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/80um/0-64_0-64_64-72,1,0,97.69434700001511,97.69434700001511,97.69434700001511,97.69434700001511,976.0,0.016886852879106427,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/80um/0-64_64-81_64-72,1,0,98.74101400001223,98.74101400001223,98.74101400001223,98.74101400001223,200.0,0.016886852879106427,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/80um/64-71_0-64_64-72,1,0,99.69832799998812,99.69832799998812,99.69832799998812,99.69832799998812,72.0,0.016886852879106427,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/80um/64-71_64-81_64-72,1,0,98.87407600001552,98.87407600001552,98.87407600001552,98.87407600001552,32.0,0.016886852879106427,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/info,2,0,96.16714999998521,96.20978199998831,96.16714999998521,96.2524139999914,768.0,0.033773705758212855,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/mesh/info,2,0,96,97.03560900001662,95.51636000003327,98.55485799999997,38.0,0.033773705758212855,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/transform.json,6,0,96,96.83912133334142,94.79947999997762,98.76194100002067,111.0,0.10132111727463855,0.0,98,98,98,98,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_right/80um/0-64_0-63_64-82,1,0,96.15004600001953,96.15004600001953,96.15004600001953,96.15004600001953,3152.0,0.016886852879106427,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_right/80um/64-96_0-63_64-82,1,0,94.7470199999998,94.7470199999998,94.7470199999998,94.7470199999998,776.0,0.016886852879106427,0.0,95,95,95,95,95,95,95,95,95,95,95
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_right/info,2,0,95.48765799996772,97.23988649999171,95.48765799996772,98.9921150000157,768.0,0.033773705758212855,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_right/mesh/info,2,0,96.22283799998854,97.64801699999737,96.22283799998854,99.07319600000619,38.0,0.033773705758212855,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_right/transform.json,6,0,96,97.2722606666802,95.58065500004886,98.89854400000786,109.0,0.10132111727463855,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_left/info,2,0,98,98.21099350000395,97.76662299998407,98.65536400002384,768.0,0.033773705758212855,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_left/mesh/info,2,0,95.45998100003317,96.9096920000112,95.45998100003317,98.35940299998924,38.0,0.033773705758212855,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_left/transform.json,6,0,98,97.93319299999818,96.06945099997688,99.57193500002859,111.0,0.10132111727463855,0.0,98,98,99,99,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_right/80um/0-64_0-63_64-67,1,0,95.88284800000224,95.88284800000224,95.88284800000224,95.88284800000224,912.0,0.016886852879106427,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_right/80um/64-81_0-63_64-67,1,0,98.863955999974,98.863955999974,98.863955999974,98.863955999974,200.0,0.016886852879106427,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_right/info,2,0,97.63747599998851,97.62151299999289,97.60554999999727,97.63747599998851,768.0,0.033773705758212855,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_right/mesh/info,2,0,96,96.91689199996745,95.50947199994653,98.32431199998837,38.0,0.033773705758212855,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_right/transform.json,6,0,96,97.35342733334089,95.50101400003541,99.53995500001156,109.0,0.10132111727463855,0.0,98,98,99,99,100,100,100,100,100,100,100
