Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/v3_0/atlases,22,0,480.0,943.1427536363605,334.5227449999868,5856.700477000004,3127.0,0.36590256238177993,0.0,520,530,550,570,610,5800,5900,5900,5900,5900,5900
GET,/v3_0/feature/_types,11,0,360.0,428.74768436363615,337.26594300000556,572.5819639999941,8002.0,0.18295128119088996,0.0,360,510,530,530,540,570,570,570,570,570,570
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,10,0,680.0,874.1058933000006,511.40227400000526,2105.1337920000037,246746.0,0.16631934653717267,0.0,690,780,1100,1100,2100,2100,2100,2100,2100,2100,2100
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,10,10,380.0,418.4785347999963,372.61813000000643,570.277816000015,67.0,0.16631934653717267,0.16631934653717267,380,390,390,570,570,570,570,570,570,570,570
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,11,0,380.0,418.1914239090929,344.3415019999918,550.1428000000033,50044.0,0.18295128119088996,0.0,380,450,520,520,540,550,550,550,550,550,550
GET,/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,11,0,350.0,408.98655454545656,332.16858599999455,555.4557650000049,1349.0,0.18295128119088996,0.0,350,470,520,520,520,560,560,560,560,560,560
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,11,0,350.0,380.9714128181864,335.35047499998427,641.6811320000022,1290.0,0.18295128119088996,0.0,350,360,360,360,430,640,640,640,640,640,640
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,11,0,340.0,378.3704880000068,331.53289399999153,571.3270740000098,7333.0,0.18295128119088996,0.0,340,350,360,360,530,570,570,570,570,570,570
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,11,0,340.0,427.3276484545415,333.67693499999973,561.5056979999906,5417.0,0.18295128119088996,0.0,340,530,530,530,530,560,560,560,560,560,560
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,11,0,530.0,671.7896037272701,339.70665600000416,1667.5539080000021,3808.0,0.18295128119088996,0.0,530,550,600,600,1300,1700,1700,1700,1700,1700,1700
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/5,11,0,340.0,403.33774827272157,334.47696199999655,580.2038690000018,6084.0,0.18295128119088996,0.0,340,380,530,530,540,580,580,580,580,580,580
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/6,11,0,340.0,387.6829672727292,331.91365899998004,531.5376479999827,7673.0,0.18295128119088996,0.0,340,410,450,450,460,530,530,530,530,530,530
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/79cbeaa4ee96d5d3dfe2876e9f74b3dc3d3ffb84304fb9b965b1776563a1069c,11,0,670.0,836.6153946363629,341.6139189999967,2217.5404219999846,80016.0,0.18295128119088996,0.0,670,1100,1200,1200,1500,2200,2200,2200,2200,2200,2200
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/12fca5c5-b02c-46ce-ab9f-f12babf4c7e1,11,0,510.0,540.4657840000043,345.4169839999963,1011.4193649999947,137262.0,0.18295128119088996,0.0,510,550,670,670,670,1000,1000,1000,1000,1000,1000
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/141d510f-0342-4f94-ace7-c97d5f160235,11,0,360.0,598.827702636364,331.88965100001155,1584.3140590000075,35323.0,0.18295128119088996,0.0,360,450,550,550,1600,1600,1600,1600,1600,1600,1600
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/63b5794f-79a4-4464-8dc1-b32e170f3d16,11,0,680.0,836.5499408181862,336.81342200000586,1924.4678709999903,69432.0,0.18295128119088996,0.0,680,1100,1100,1100,1500,1900,1900,1900,1900,1900,1900
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/73f41e04-b7ee-4301-a828-4b298ad05ab8,11,0,370.0,468.94529163636565,336.6750270000125,817.9713119999974,19068.0,0.18295128119088996,0.0,370,550,560,560,580,820,820,820,820,820,820
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579,11,0,1000.0,1042.6994226363709,346.9340840000257,2251.101848000019,88714.0,0.18295128119088996,0.0,1000,1100,1300,1300,1500,2300,2300,2300,2300,2300,2300
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290,11,0,350.0,500.36482000000285,337.74920999999836,1431.310394999997,7149.0,0.18295128119088996,0.0,350,430,550,550,680,1400,1400,1400,1400,1400,1400
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-300,11,0,680.0,989.4297670909035,345.4972079999834,2103.7468789999994,142767.0,0.18295128119088996,0.0,680,1300,1300,1300,1700,2100,2100,2100,2100,2100,2100
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310,11,0,990.0,1033.0680832727267,351.84842000001026,2504.6166439999806,184716.0,0.18295128119088996,0.0,990,1300,1300,1300,1900,2500,2500,2500,2500,2500,2500
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/d80fbab2-ce7f-4901-a3a2-3c8ef8a3b721,11,0,400.0,597.9473537272754,335.7752459999972,1269.4054010000002,10610.0,0.18295128119088996,0.0,400,540,1100,1100,1100,1300,1300,1300,1300,1300,1300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290,11,0,400.0,449.4931177272758,337.5321480000082,644.4038900000066,43308.0,0.18295128119088996,0.0,400,540,540,540,550,640,640,640,640,640,640
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=10,11,0,350.0,397.2749959999956,337.6136459999941,564.4415959999947,42812.0,0.18295128119088996,0.0,350,440,450,450,520,560,560,560,560,560,560
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=11,11,0,410.0,429.39908000000383,333.9910949999876,560.7100910000042,43068.0,0.18295128119088996,0.0,410,510,520,520,540,560,560,560,560,560,560
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=12,11,0,340.0,375.4279269999988,333.62297799999396,535.8162990000039,23996.0,0.18295128119088996,0.0,340,350,350,350,520,540,540,540,540,540,540
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=2,10,0,380.0,487.36251690000074,334.2304210000009,1182.6451630000179,42787.0,0.16631934653717267,0.0,430,440,520,530,1200,1200,1200,1200,1200,1200,1200
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=3,10,0,350.0,406.8215061000046,337.8968560000146,570.7539859999997,42468.0,0.16631934653717267,0.0,360,420,460,520,570,570,570,570,570,570,570
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=4,10,0,360.0,402.41814110000576,335.0740160000214,539.2131739999968,42814.0,0.16631934653717267,0.0,370,380,460,520,540,540,540,540,540,540,540
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=5,11,0,540.0,503.9393305454469,342.0301669999901,748.6171449999972,42717.0,0.18295128119088996,0.0,540,540,560,560,580,750,750,750,750,750,750
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=6,11,0,450.0,445.53560545454917,339.12370100000544,661.8384899999796,42645.0,0.18295128119088996,0.0,450,520,540,540,550,660,660,660,660,660,660
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=7,11,0,360.0,432.5955487272779,335.37604200000715,668.3043449999957,42812.0,0.18295128119088996,0.0,360,520,560,560,560,670,670,670,670,670,670
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=8,11,0,380.0,457.88123827272847,334.9610620000192,666.1287120000168,42681.0,0.18295128119088996,0.0,380,540,550,550,660,670,670,670,670,670,670
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=9,11,0,350.0,391.2183105454584,338.66036000000577,638.6394580000001,42642.0,0.18295128119088996,0.0,350,360,360,360,530,640,640,640,640,640,640
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310,11,0,350.0,427.29043090908834,333.112328999988,1023.3536970000046,43020.0,0.18295128119088996,0.0,350,360,390,390,530,1000,1000,1000,1000,1000,1000
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=10,11,0,350.0,395.9867681818216,335.72100100002444,667.6769950000221,42419.0,0.18295128119088996,0.0,350,360,370,370,550,670,670,670,670,670,670
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=11,11,0,340.0,370.57048390909904,334.9712960000204,553.828311000018,42680.0,0.18295128119088996,0.0,340,350,360,360,440,550,550,550,550,550,550
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=12,11,0,360.0,383.4697880909087,334.078954000006,539.9017369999797,44140.0,0.18295128119088996,0.0,360,360,370,370,520,540,540,540,540,540,540
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=13,11,0,520.0,592.8400160909151,335.9401140000102,1185.6435530000056,43725.0,0.18295128119088996,0.0,520,560,770,770,1100,1200,1200,1200,1200,1200,1200
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=14,11,0,370.0,414.0449817272698,338.02145799998584,571.351476999979,43273.0,0.18295128119088996,0.0,370,460,530,530,540,570,570,570,570,570,570
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=15,11,0,350.0,418.89394527272447,335.604203999992,649.6342599999991,44758.0,0.18295128119088996,0.0,350,410,540,540,540,650,650,650,650,650,650
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=16,11,0,400.0,481.14504109090916,344.39712599998984,1004.4195040000261,18952.0,0.18295128119088996,0.0,400,530,550,550,580,1000,1000,1000,1000,1000,1000
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=2,11,0,370.0,425.0377493636315,338.8068739999994,748.5405550000053,42319.0,0.18295128119088996,0.0,370,420,460,460,560,750,750,750,750,750,750
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=3,11,0,350.0,409.3875299999985,337.97084199997585,648.8211079999928,42374.0,0.18295128119088996,0.0,350,370,530,530,550,650,650,650,650,650,650
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=4,11,0,360.0,433.93712563636194,340.96560500000805,992.1145639999907,42641.0,0.18295128119088996,0.0,360,360,440,440,530,990,990,990,990,990,990
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=5,11,0,360.0,414.6703640000014,339.014872000007,689.3250899999828,42794.0,0.18295128119088996,0.0,360,420,460,460,530,690,690,690,690,690,690
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=6,11,0,530.0,480.668836909088,334.2053099999873,696.2707940000143,42904.0,0.18295128119088996,0.0,530,530,560,560,560,700,700,700,700,700,700
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=7,11,0,380.0,479.4285807272729,344.71959000001107,948.8069939999946,42438.0,0.18295128119088996,0.0,380,530,550,550,580,950,950,950,950,950,950
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=8,11,0,340.0,434.44697654545513,336.3577689999886,1134.7050189999948,42433.0,0.18295128119088996,0.0,340,350,460,460,460,1100,1100,1100,1100,1100,1100
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=9,11,0,360.0,422.21277090908677,332.02853999998183,567.6356759999805,42559.0,0.18295128119088996,0.0,360,540,550,550,560,570,570,570,570,570,570
GET,/v3_0/spaces/minds/core/referencespace/v1.0.0/7f39f7be-445b-47c0-9791-e971c0b6d992,11,0,410.0,870.3203950000035,338.8774819999867,5285.2380049999965,3357.0,0.18295128119088996,0.0,410,520,530,530,550,5300,5300,5300,5300,5300,5300
GET,/v3_0/spaces/minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,11,0,360.0,919.7584674545488,341.61400899998284,5292.6360810000115,2525.0,0.18295128119088996,0.0,360,580,850,850,910,5300,5300,5300,5300,5300,5300
GET,/v3_0/spaces/minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,11,0,530.0,963.4058876363656,342.39113900000007,5266.9987820000015,3607.0,0.18295128119088996,0.0,530,570,700,700,710,5300,5300,5300,5300,5300,5300
GET,/v3_0/spaces/minds/core/referencespace/v1.0.0/tmp-fsaverage,11,0,350.0,837.4637571818213,338.8121559999888,5284.887872000013,3664.0,0.18295128119088996,0.0,350,420,500,500,580,5300,5300,5300,5300,5300,5300
,Aggregated,600,10,370.0,550.8828534533345,331.53289399999153,5856.700477000004,41366.89,9.979160792230362,0.16631934653717267,370,520,540,560,710,1200,1900,5300,5900,5900,5900
