Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/v3_0/atlases,156,0,41,60.78701148717895,25.956163000017796,753.9277770000012,3127.0,2.633254312802267,0.0,41,45,48,54,90,130,210,750,750,750,750
GET,/v3_0/feature/_types,77,0,40,64.79877361038886,24.814052000010633,463.5207890000004,8002.0,1.2997473210626576,0.0,40,55,64,71,150,150,360,460,460,460,460
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,77,0,64,88.32505998701376,35.37418999999886,404.19406700002014,246746.0,1.2997473210626576,0.0,64,75,90,110,170,180,390,400,400,400,400
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,77,77,92,123.48062801298497,54.23083499999848,570.5520229999763,67.0,1.2997473210626576,1.2997473210626576,92,130,150,150,200,250,450,570,570,570,570
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,77,0,49,74.98861477921946,25.56816499998149,486.2299069999949,50044.0,1.2997473210626576,0.0,49,62,81,120,160,160,250,490,490,490,490
GET,/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,78,0,44,64.97578143589632,24.45247400001449,432.58861800001114,1349.0,1.3166271564011336,0.0,45,52,61,63,140,250,350,430,430,430,430
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,77,0,48,83.98853184415469,23.846437000003107,450.03260699999714,1290.0,1.2997473210626576,0.0,48,60,81,98,240,340,360,450,450,450,450
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,78,0,44,66.37248675641051,23.31395999999586,410.8401219999962,7333.0,1.3166271564011336,0.0,44,52,58,64,160,180,260,410,410,410,410
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,78,0,41,59.98975173076977,24.23681100000863,433.4746449999898,5417.0,1.3166271564011336,0.0,42,50,55,62,120,190,230,430,430,430,430
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,78,0,42,72.57928903846242,23.79912300000342,1411.199221000004,3808.0,1.3166271564011336,0.0,43,50,56,64,94,130,400,1400,1400,1400,1400
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/5,78,0,38,61.265027243589216,23.16878899998187,349.2940209999915,6084.0,1.3166271564011336,0.0,39,52,61,66,140,240,250,350,350,350,350
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/6,78,0,41,77.36130823077086,23.817965000006325,943.9493090000042,7673.0,1.3166271564011336,0.0,41,51,58,65,160,250,630,940,940,940,940
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/79cbeaa4ee96d5d3dfe2876e9f74b3dc3d3ffb84304fb9b965b1776563a1069c,78,0,40,83.27098520512943,25.732319000013604,824.1203329999962,80016.0,1.3166271564011336,0.0,40,50,75,110,160,280,590,820,820,820,820
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/12fca5c5-b02c-46ce-ab9f-f12babf4c7e1,78,0,47,90.49294393589692,27.595878999989054,984.4113679999964,137262.0,1.3166271564011336,0.0,47,62,72,81,150,300,760,980,980,980,980
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/141d510f-0342-4f94-ace7-c97d5f160235,78,0,38,97.50493017948932,26.29183100000887,1495.452575999991,35323.0,1.3166271564011336,0.0,40,46,59,65,130,540,1000,1500,1500,1500,1500
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/63b5794f-79a4-4464-8dc1-b32e170f3d16,78,0,46,98.07056273077126,24.83264199999269,1004.220590999978,69432.0,1.3166271564011336,0.0,47,55,75,110,220,400,810,1000,1000,1000,1000
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/73f41e04-b7ee-4301-a828-4b298ad05ab8,78,0,39,83.66712632051498,24.225821000015912,965.9021939999946,19068.0,1.3166271564011336,0.0,39,47,57,62,120,460,750,970,970,970,970
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579,78,0,50,79.94924664102781,27.056664999989266,532.2664750000001,88714.0,1.3166271564011336,0.0,51,65,78,95,160,240,350,530,530,530,530
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290,78,0,43,72.75495133333101,23.522583000016084,706.92391999998,7149.0,1.3166271564011336,0.0,44,49,58,65,110,250,520,710,710,710,710
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-300,78,0,55,102.48589060256472,31.176229999999805,1598.1685980000009,142767.0,1.3166271564011336,0.0,56,69,80,94,160,280,660,1600,1600,1600,1600
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310,78,0,58,109.9124998333348,32.2219419999783,1607.9321930000106,184716.0,1.3166271564011336,0.0,59,72,82,96,160,410,610,1600,1600,1600,1600
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/d80fbab2-ce7f-4901-a3a2-3c8ef8a3b721,78,0,37,71.40702125640932,23.446453999980577,973.5772120000092,10610.0,1.3166271564011336,0.0,37,46,52,53,120,210,780,970,970,970,970
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290,77,0,48,82.64033670130216,25.539517999987993,479.4423429999881,43308.0,1.2997473210626576,0.0,48,57,65,83,220,350,450,480,480,480,480
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=10,77,0,52,71.81177892208007,25.576728000004323,481.9499859999894,42812.0,1.2997473210626576,0.0,52,57,65,73,150,170,280,480,480,480,480
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=11,77,0,51,71.07743093506517,25.474983000009388,364.81494299999895,43068.0,1.2997473210626576,0.0,51,58,64,76,150,180,350,360,360,360,360
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=12,77,0,48,72.92591316883107,23.22641700001782,473.37675700001114,23996.0,1.2997473210626576,0.0,48,60,65,76,160,240,250,470,470,470,470
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=2,77,0,52,59.65817890909151,25.314551000008123,265.97595600000545,42787.0,1.2997473210626576,0.0,52,58,63,66,100,160,170,270,270,270,270
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=3,77,0,55,68.06063203896096,27.120410000009088,252.13537400000519,42468.0,1.2997473210626576,0.0,55,59,65,73,150,170,250,250,250,250,250
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=4,77,0,52,61.238045233765,25.82028300000161,252.95992099998443,42814.0,1.2997473210626576,0.0,52,58,61,67,120,160,160,250,250,250,250
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=5,77,0,49,63.487952675325566,29.197393999993437,296.26653100001477,42717.0,1.2997473210626576,0.0,49,57,61,66,140,160,170,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=6,77,0,51,62.31754718181911,27.53403900001672,439.31338999999525,42645.0,1.2997473210626576,0.0,51,57,62,66,100,150,170,440,440,440,440
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=7,77,0,49,58.947864935063116,25.09379700001091,164.05435800001555,42812.0,1.2997473210626576,0.0,49,55,61,64,140,160,160,160,160,160,160
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=8,77,0,52,69.35570635064835,25.165236999981744,430.4987489999803,42681.0,1.2997473210626576,0.0,52,60,65,73,150,170,270,430,430,430,430
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=9,77,0,51,71.8788388051955,27.77178099999844,285.53557200000057,42642.0,1.2997473210626576,0.0,51,57,75,100,160,170,260,290,290,290,290
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310,78,0,44,69.92258779487166,23.996030000006385,378.7411190000114,43020.0,1.3166271564011336,0.0,45,55,62,72,150,260,320,380,380,380,380
