Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1754652950,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754652951,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754652952,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754652953,1,,Aggregated,0.000000,0.000000,2700,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,8,0,2700.0,2116.39388675,191.94171999998844,2803.207869000005,3795.5
1754652954,1,,Aggregated,0.000000,0.000000,240,570,890,2700,2800,2800,2800,2800,2800,2800,2800,27,0,240.0,868.2966147037034,177.4885159999826,2803.207869000005,37787.81481481482
1754652955,1,,Aggregated,0.000000,0.000000,210,220,420,570,2700,2800,2800,2800,2800,2800,2800,52,0,210.0,562.1887765384622,177.4885159999826,2803.207869000005,38478.0
1754652956,1,,Aggregated,2.750000,0.000000,210,220,260,520,980,2700,2800,2800,2800,2800,2800,64,1,210.0,502.00487837500054,177.4885159999826,2803.207869000005,37513.0625
1754652957,1,,Aggregated,7.000000,0.000000,210,220,260,410,730,2700,2800,2800,2800,2800,2800,90,1,210.0,432.069497155556,177.4885159999826,2803.207869000005,40585.322222222225
1754652958,1,,Aggregated,9.000000,0.166667,210,220,280,330,570,2700,2800,2800,2800,2800,2800,110,2,210.0,397.66864769091006,177.4885159999826,2803.207869000005,41644.65454545455
1754652959,1,,Aggregated,10.571429,0.142857,210,220,280,320,570,980,2800,2800,2800,2800,2800,131,2,210.0,376.638288374046,177.4885159999826,2803.207869000005,41219.13740458015
1754652960,1,,Aggregated,12.250000,0.125000,210,220,280,310,520,890,2700,2800,2800,2800,2800,156,2,210.0,355.0487585,177.4885159999826,2803.207869000005,40548.916666666664
