Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/viewer/,17,0,420.0,691.7718614117637,311.04818000000023,5170.607173000008,5771.0,0.28326920166506425,0.0,420,460,460,470,490,5200,5200,5200,5200,5200,5200
GET,/viewer/assets/academicons/css/academicons.min.css,17,0,490.0,770.3724816470632,316.1049809999952,5203.1770940000115,7768.0,0.28326920166506425,0.0,490,520,590,600,790,5200,5200,5200,5200,5200,5200
GET,/viewer/assets/fontawesome/css/all.min.css,17,0,420.0,736.5467801764637,315.01436899998225,5602.135823000011,59305.0,0.28326920166506425,0.0,420,460,470,530,690,5600,5600,5600,5600,5600,5600
GET,/viewer/assets/fontawesome/webfonts/fa-regular-400.woff2,16,0,410.0,453.0230133749988,308.2138970000017,682.7088659999845,13224.0,0.2666063074494722,0.0,410,420,580,580,680,680,680,680,680,680,680
GET,/viewer/assets/fontawesome/webfonts/fa-solid-900.woff2,16,0,480.0,500.5982710625006,309.141741000019,677.3192910000034,78268.0,0.2666063074494722,0.0,480,590,600,600,680,680,680,680,680,680,680
GET,/viewer/assets/logo/ebrains-logo-dark.svg,16,0,410.0,432.8168217500004,309.15823099999784,767.5588049999931,11876.0,0.2666063074494722,0.0,410,420,520,520,590,770,770,770,770,770,770
GET,/viewer/assets/logo/ebrains-logo-light.svg,16,0,490.0,497.9739922499995,309.07901999998444,690.9060170000032,11915.0,0.2666063074494722,0.0,490,570,590,590,690,690,690,690,690,690,690
GET,/viewer/catchSyntaxError.js,17,0,400.0,412.18279382353353,308.308181000001,592.2526920000166,410.0,0.28326920166506425,0.0,400,410,470,480,590,590,590,590,590,590,590
GET,/viewer/chunk_worker.bundle.js,32,0,500.0,543.171873625,311.61756599999535,1094.192989000021,301361.0,0.5332126148989444,0.0,580,600,630,670,780,800,1100,1100,1100,1100,1100
GET,/viewer/extra_js.js,17,0,410.0,714.743427470592,310.5694169999822,5175.690800000012,47.0,0.28326920166506425,0.0,410,470,490,500,580,5200,5200,5200,5200,5200,5200
GET,/viewer/icons/iav-icons.css,17,0,430.0,714.4256042941174,309.9200919999987,4873.004371000007,518.0,0.28326920166506425,0.0,430,500,590,590,700,4900,4900,4900,4900,4900,4900
GET,/viewer/includeMatomo.js,17,0,420.0,461.09037594117603,404.06093199999304,779.8766940000235,843.0,0.28326920166506425,0.0,420,470,470,490,570,780,780,780,780,780,780
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/connectivity-component.js,17,0,630.0,701.8128877058817,406.3395330000219,1837.298603999983,129703.0,0.28326920166506425,0.0,630,680,690,700,890,1800,1800,1800,1800,1800,1800
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-1122d015.system.js,17,0,370.0,422.7142058235262,307.9223150000132,674.3523469999957,20575.0,0.28326920166506425,0.0,370,480,570,580,600,670,670,670,670,670,670
