Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1754653426,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754653427,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754653428,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754653429,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754653430,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754653431,1,,Aggregated,0.000000,0.000000,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,1,0,4873.004371000007,4873.004371000007,4873.004371000007,4873.004371000007,518.0
1754653432,1,,Aggregated,0.000000,0.000000,5200,5200,5300,5300,5600,5600,5600,5600,5600,5600,5600,7,0,5200.0,4546.593408714295,533.2631060000068,5602.135823000011,10625.857142857143
1754653433,1,,Aggregated,0.000000,0.000000,4900,5200,5200,5200,5300,5600,5600,5600,5600,5600,5600,11,0,4900.0,3189.187097181824,308.9693520000196,5602.135823000011,76235.54545454546
1754653434,1,,Aggregated,0.166667,0.000000,1400,2200,4900,5200,5200,5300,5600,5600,5600,5600,5600,21,1,1400.0,2157.402651428573,308.42806399999745,5602.135823000011,168472.57142857142
1754653435,1,,Aggregated,1.285714,0.000000,480,1400,2200,2400,5200,5300,5600,5600,5600,5600,5600,31,1,480.0,1593.7137352580676,308.42806399999745,5602.135823000011,118389.45161290323
1754653436,1,,Aggregated,1.500000,0.000000,480,680,2100,2400,5200,5300,5600,5600,5600,5600,5600,40,1,480.0,1427.4344584250025,308.42806399999745,5602.135823000011,150553.325
1754653437,1,,Aggregated,2.444444,0.111111,490,740,1800,2200,5200,5200,5600,5600,5600,5600,5600,44,1,480.0,1356.1455017272744,308.42806399999745,5602.135823000011,139856.1590909091
