Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/viewer/,69,0,13,20.691405652173973,9.316350000005968,203.06919200000095,5771.0,1.1659141115546965,0.0,13,14,14,15,59,68,78,200,200,200,200
GET,/viewer/assets/academicons/css/academicons.min.css,69,0,18,57.849855028985395,10.004511999994747,393.0741249999983,7768.0,1.1659141115546965,0.0,18,23,67,96,190,200,390,390,390,390,390
GET,/viewer/assets/fontawesome/css/all.min.css,69,0,19,39.449597362317704,11.986602999996876,205.16316799999856,59305.0,1.1659141115546965,0.0,19,21,25,69,110,120,200,210,210,210,210
GET,/viewer/assets/fontawesome/webfonts/fa-regular-400.woff2,68,0,80,101.46895786764634,8.285680000000184,374.9498520000003,13224.0,1.1490168055901357,0.0,83,150,180,190,190,280,290,370,370,370,370
GET,/viewer/assets/fontawesome/webfonts/fa-solid-900.woff2,68,0,64,96.90986880882359,8.31560999999681,289.82917999999813,78268.0,1.1490168055901357,0.0,66,140,190,190,220,280,290,290,290,290,290
GET,/viewer/assets/logo/ebrains-logo-dark.svg,68,0,22,77.70352964705697,7.9872239999900785,367.6213229999945,11876.0,1.1490168055901357,0.0,22,89,140,180,200,200,290,370,370,370,370
GET,/viewer/assets/logo/ebrains-logo-light.svg,68,0,67,92.73860441176504,7.517801000005875,292.97262000000046,11915.0,1.1490168055901357,0.0,72,120,190,190,190,230,280,290,290,290,290
GET,/viewer/catchSyntaxError.js,69,0,20,60.870651579709794,7.671307999999044,290.8264379999963,410.0,1.1659141115546965,0.0,20,73,79,88,190,190,280,290,290,290,290
GET,/viewer/chunk_worker.bundle.js,136,0,69,117.00960113235223,11.274339999999938,397.313608999994,301361.0,2.2980336111802715,0.0,72,180,190,200,290,300,390,390,400,400,400
GET,/viewer/extra_js.js,69,0,18,63.59100786956473,9.31088199999408,205.28608300000428,47.0,1.1659141115546965,0.0,18,70,93,170,190,200,200,210,210,210,210
GET,/viewer/icons/iav-icons.css,69,0,18,69.9529209565215,12.145180999993954,499.30705600002057,518.0,1.1659141115546965,0.0,18,69,97,190,190,200,200,500,500,500,500
GET,/viewer/includeMatomo.js,69,0,28,61.755821014493,7.580167000014626,378.9292290000219,843.0,1.1659141115546965,0.0,28,77,87,94,170,180,190,380,380,380,380
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/connectivity-component.js,68,0,170.0,160.266359941176,9.902107000016258,474.88281799999754,129703.0,1.1490168055901357,0.0,170,180,190,190,280,300,380,470,470,470,470
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-1122d015.system.js,68,0,82,108.61825449999887,9.111484000015935,292.07127799999455,20575.0,1.1490168055901357,0.0,82,180,190,190,200,200,220,290,290,290,290
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-a3eb4831.system.js,68,0,73,105.3188466176483,7.763683000007404,488.5967140000105,2309.0,1.1490168055901357,0.0,74,160,180,190,220,280,290,490,490,490,490
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-ec904422.system.js,68,0,30,77.87235089705852,8.137601999990807,483.45094000001154,1969.0,1.1490168055901357,0.0,31,100,130,180,180,200,300,480,480,480,480
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-fba65a86.system.js,68,0,73,93.68526652941041,7.962235999997347,432.4718539999992,2280.0,1.1490168055901357,0.0,75,120,180,180,200,260,280,430,430,430,430
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/ng-layer-tune.esm.js,69,0,98,123.57451337681096,7.6818089999903805,474.50572900001475,945.0,1.1659141115546965,0.0,98,170,180,180,190,270,370,470,470,470,470
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/p-9649e2d0.js,69,0,70,107.07223862318719,8.881883000000812,490.5206539999938,17882.0,1.1659141115546965,0.0,70,100,180,190,230,290,490,490,490,490,490
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/p-e7f71eaa.js,68,0,69,92.78945005882251,7.995446000009565,391.01585500000624,180.0,1.1490168055901357,0.0,72,120,150,180,190,280,380,390,390,390,390
GET,/viewer/lib/three-surfer/dist/bundle.js,69,0,390.0,388.9533524782595,16.89673999999286,882.2067220000065,761764.0,1.1659141115546965,0.0,390,490,580,590,680,690,780,880,880,880,880
GET,/viewer/main.bundle.js,68,0,580.0,595.9272250588244,24.484937000011087,1179.4416140000124,1388728.0,1.1490168055901357,0.0,640,730,790,870,980,990,1100,1200,1200,1200,1200
GET,/viewer/main.js,68,0,230.0,298.2006009117648,15.902796999995417,888.6391650000007,725487.0,1.1490168055901357,0.0,260,390,500,530,690,780,880,890,890,890,890
GET,/viewer/plugins/manifests,68,0,23,61.11417995588234,9.862781999999015,275.7633559999988,246.0,1.1490168055901357,0.0,23,76,92,97,180,190,200,280,280,280,280
GET,/viewer/runtime.js,69,0,60,80.40599611594222,7.0601430000039045,488.2567490000156,1193.0,1.1659141115546965,0.0,60,85,120,160,190,280,290,490,490,490,490
GET,/viewer/styles.css,68,0,170.0,177.02343736764715,11.484752000001208,571.8059800000219,410961.0,1.1490168055901357,0.0,180,220,280,330,380,470,570,570,570,570,570
GET,/viewer/user,68,68,23,43.724854308822096,7.379425999999967,297.49751899998955,17.0,1.1490168055901357,1.1490168055901357,24,68,75,80,87,98,170,300,300,300,300
GET,/viewer/vendor.js,68,0,410.0,513.8943870147062,23.682352000008677,1385.914248000006,1675703.0,1.1490168055901357,0.0,410,770,800,870,1100,1300,1400,1400,1400,1400,1400
GET,/viewer/version.css,69,0,15,50.89779482608718,9.470113999995533,298.9329540000085,27.0,1.1659141115546965,0.0,15,82,91,96,98,110,190,300,300,300,300
GET,/viewer/worker-nifti.js,68,0,81,99.7502356764708,7.642427999996926,436.0734720000039,5591.0,1.1490168055901357,0.0,86,110,180,180,190,280,370,440,440,440,440
GET,/viewer/worker-plotly.js,68,0,31,84.9254502647052,7.834984999988137,527.9747109999988,2615.0,1.1490168055901357,0.0,32,96,170,180,200,290,290,530,530,530,530
GET,/viewer/worker-regionFilter.js,68,0,61,86.32217110294266,8.392646999993758,328.1549780000006,707.0,1.1490168055901357,0.0,61,120,180,180,190,190,280,330,330,330,330
GET,/viewer/worker-typedarray.js,68,0,82,106.76591036764636,7.671979000008378,438.70772500000044,3675.0,1.1490168055901357,0.0,85,160,180,180,280,290,370,440,440,440,440
GET,/viewer/worker.js,68,0,75,101.14703769117672,7.787497999999005,397.64478899999744,3520.0,1.1490168055901357,0.0,75,120,180,190,280,280,320,400,400,400,400
,Aggregated,2392,68,72,129.3988946542641,7.0601430000039045,1385.914248000006,169469.5087792642,40.41835586722948,1.1490168055901357,72,130,180,190,290,490,780,890,1300,1400,1400
