Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1754653421,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754653422,1,,Aggregated,0.000000,0.000000,36,86,98,100,190,210,300,330,330,330,330,69,2,36,73.13489304347716,7.7405310000102645,331.99627300000145,148141.8115942029
1754653423,1,,Aggregated,0.000000,0.000000,34,76,85,91,190,290,330,380,400,400,400,153,4,34,68.50252602614327,7.683857000003513,398.13142799999923,177539.98039215687
1754653424,1,,Aggregated,16.000000,0.000000,43,80,89,98,190,290,380,400,480,480,480,216,6,42,75.15845648611058,7.683857000003513,484.626937999991,165582.87037037036
1754653425,1,,Aggregated,55.000000,1.500000,43,82,92,100,190,290,380,430,790,790,790,258,7,42,81.09021127519334,7.683857000003513,785.5842650000113,171648.08139534883
1754653426,1,,Aggregated,60.000000,1.666667,43,84,96,130,200,300,390,480,790,790,790,308,9,43,84.52173916883069,7.683857000003513,785.5842650000113,166092.91558441558
1754653427,1,,Aggregated,60.000000,1.750000,56,85,97,130,190,330,400,490,790,790,790,370,11,56,86.25394908108059,7.683857000003513,785.5842650000113,168378.04594594595
1754653428,1,,Aggregated,55.800000,1.600000,61,85,99,130,190,300,390,480,790,790,790,430,12,61,86.75227949767402,7.683857000003513,785.5842650000113,166488.98837209304
1754653429,1,,Aggregated,55.000000,1.500000,61,85,99,140,190,300,400,490,790,790,790,478,14,60,87.57771715271939,7.683857000003513,785.5842650000113,166296.57112970712
1754653430,1,,Aggregated,55.428571,1.571429,64,87,110,160,200,360,430,560,790,790,790,516,15,63,92.75467785271277,7.683857000003513,785.5842650000113,168278.32364341084
1754653431,1,,Aggregated,55.500000,1.625000,66,87,110,160,190,350,430,590,790,790,790,571,16,66,93.08972970402772,7.517801000005875,785.5842650000113,167051.54816112085
1754653432,1,,Aggregated,54.111111,1.555556,69,89,120,160,200,360,430,590,790,790,790,612,17,68,94.93418851307158,7.517801000005875,785.5842650000113,169028.92810457517
1754653433,1,,Aggregated,53.200000,1.500000,69,90,120,170,220,370,490,640,790,790,790,644,18,68,97.65995542080707,7.517801000005875,785.5842650000113,167259.38664596275
1754653434,1,,Aggregated,57.100000,1.700000,67,90,130,170,270,370,560,770,1100,1100,1100,682,20,66,101.55724816568869,7.517801000005875,1122.9262539999922,168267.69941348972
1754653435,1,,Aggregated,51.200000,1.500000,68,92,130,180,270,370,580,770,1100,1100,1100,714,20,67,102.85382177030772,7.517801000005875,1122.9262539999922,170859.32913165266
1754653436,1,,Aggregated,47.200000,1.400000,67,90,130,180,240,370,580,770,1100,1100,1100,778,22,67,101.48343058868853,7.517801000005875,1122.9262539999922,168841.2673521851
1754653437,1,,Aggregated,45.600000,1.300000,69,92,130,180,270,380,580,770,1100,1100,1100,802,23,69,104.43361988029885,7.517801000005875,1122.9262539999922,168118.23441396508
1754653438,1,,Aggregated,45.300000,1.300000,69,92,130,180,270,380,580,780,1300,1300,1300,826,24,68,106.4723605157381,7.517801000005875,1344.976993000003,168229.16828087167
1754653439,1,,Aggregated,46.100000,1.400000,69,93,150,180,280,380,590,780,1300,1300,1300,861,25,69,108.25405813472669,7.517801000005875,1344.976993000003,168539.40534262484
1754653440,1,,Aggregated,41.600000,1.200000,69,95,150,180,280,380,670,790,1300,1300,1300,900,26,69,109.52780883888862,7.517801000005875,1344.976993000003,167540.15444444446
1754653441,1,,Aggregated,39.500000,1.100000,70,96,160,180,280,380,670,790,1300,1300,1300,938,27,70,111.5243198240936,7.517801000005875,1344.976993000003,169008.83262260127
1754653442,1,,Aggregated,38.700000,1.100000,70,97,170,180,280,390,680,790,1300,1300,1300,972,28,70,112.6162659465018,7.517801000005875,1344.976993000003,167551.87037037036
1754653443,1,,Aggregated,37.600000,1.100000,70,98,170,180,280,390,690,790,1300,1300,1300,1000,29,70,113.95110730699972,7.517801000005875,1344.976993000003,167972.244
1754653444,1,,Aggregated,36.300000,1.000000,70,98,170,180,280,390,700,800,1100,1300,1300,1038,30,70,115.2924976406548,7.517801000005875,1344.976993000003,169872.90462427746
1754653445,1,,Aggregated,36.200000,1.000000,70,99,170,190,280,390,690,800,1100,1300,1300,1070,31,70,115.75527446822404,7.0601430000039045,1344.976993000003,168120.22803738317
1754653446,1,,Aggregated,35.900000,1.000000,70,99,170,190,280,410,700,830,1100,1300,1300,1100,31,70,117.2315976245452,7.0601430000039045,1344.976993000003,168513.33
1754653447,1,,Aggregated,35.300000,1.000000,70,99,170,190,280,410,700,830,1100,1300,1300,1140,33,70,117.29456361228046,7.0601430000039045,1344.976993000003,168216.8596491228
1754653448,1,,Aggregated,34.900000,1.000000,70,99,170,190,280,430,770,830,1300,1400,1400,1170,33,70,119.27267596495712,7.0601430000039045,1385.914248000006,169248.20085470084
1754653449,1,,Aggregated,33.300000,0.900000,70,100,180,190,290,440,780,870,1300,1400,1400,1200,34,70,120.3594411158332,7.0601430000039045,1385.914248000006,170007.19416666665
1754653450,1,,Aggregated,34.700000,1.000000,70,100,180,190,290,470,780,870,1300,1400,1400,1238,35,70,121.6943168150241,7.0601430000039045,1385.914248000006,169799.06785137317
1754653451,1,,Aggregated,34.300000,1.000000,71,100,180,190,290,480,780,880,1300,1400,1400,1259,36,71,123.35211811119923,7.0601430000039045,1385.914248000006,168768.13423351868
1754653452,1,,Aggregated,33.200000,1.000000,71,110,180,190,290,480,780,880,1300,1400,1400,1294,37,71,124.36011407187016,7.0601430000039045,1385.914248000006,169862.57109737248
1754653453,1,,Aggregated,33.000000,0.900000,71,110,180,190,290,480,780,880,1300,1400,1400,1327,38,71,124.91460014318007,7.0601430000039045,1385.914248000006,168848.5184626978
1754653454,1,,Aggregated,31.800000,0.900000,71,110,180,190,290,480,780,880,1300,1400,1400,1356,39,70,124.94229922345133,7.0601430000039045,1385.914248000006,167782.42109144543
1754653455,1,,Aggregated,32.200000,0.900000,71,120,180,190,290,480,780,890,1300,1400,1400,1398,40,71,126.54896327467813,7.0601430000039045,1385.914248000006,169204.4406294707
1754653456,1,,Aggregated,32.900000,0.900000,70,120,180,190,290,480,780,880,1300,1400,1400,1442,41,70,126.10417195839095,7.0601430000039045,1385.914248000006,169718.24133148405
