Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/viewer/,41,0,100.0,133.86678756097518,99.7540660000027,752.1093199999882,5771.0,0.6942938029901209,0.0,100,110,110,110,120,170,750,750,750,750,750
GET,/viewer/assets/academicons/css/academicons.min.css,41,0,120.0,184.38836100000134,99.97060400000635,843.159605000011,7768.0,0.6942938029901209,0.0,120,190,200,200,300,300,840,840,840,840,840
GET,/viewer/assets/fontawesome/css/all.min.css,41,0,110.0,170.86880458536388,101.9620290000205,914.7123770000007,59305.0,0.6942938029901209,0.0,110,170,190,200,210,490,910,910,910,910,910
GET,/viewer/assets/fontawesome/webfonts/fa-regular-400.woff2,41,0,180.0,182.7489296829271,99.46357100000114,397.9308739999965,13224.0,0.6942938029901209,0.0,180,200,290,290,300,310,400,400,400,400,400
GET,/viewer/assets/fontawesome/webfonts/fa-solid-900.woff2,41,0,130.0,173.58974890243934,99.36448100000916,394.36667500001477,78268.0,0.6942938029901209,0.0,130,200,230,280,300,300,390,390,390,390,390
GET,/viewer/assets/logo/ebrains-logo-dark.svg,41,0,130.0,169.60442490243975,98.40951500001438,386.50621100001104,11876.0,0.6942938029901209,0.0,130,200,200,270,300,310,390,390,390,390,390
GET,/viewer/assets/logo/ebrains-logo-light.svg,41,0,110.0,163.09847073170803,98.0331890000059,388.54781199998456,11915.0,0.6942938029901209,0.0,110,190,200,220,290,290,390,390,390,390,390
GET,/viewer/catchSyntaxError.js,41,0,200.0,209.07864624390425,98.44347000000653,437.50539100000196,410.0,0.6942938029901209,0.0,200,270,280,280,290,320,440,440,440,440,440
GET,/viewer/chunk_worker.bundle.js,82,0,130.0,207.60242174390245,100.81146400000307,577.6692020000098,301361.0,1.3885876059802418,0.0,140,280,300,310,390,430,490,580,580,580,580
GET,/viewer/extra_js.js,41,0,190.0,188.58264097561062,98.93181099999993,718.0161449999929,47.0,0.6942938029901209,0.0,190,200,200,200,290,390,720,720,720,720,720
GET,/viewer/icons/iav-icons.css,41,0,190.0,192.79603709756233,100.21636599998374,687.8799250000043,518.0,0.6942938029901209,0.0,190,200,200,210,300,390,690,690,690,690,690
GET,/viewer/includeMatomo.js,41,0,110.0,156.3237922439024,97.83241199997406,624.6469909999917,843.0,0.6942938029901209,0.0,110,170,180,190,230,290,620,620,620,620,620
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/connectivity-component.js,41,0,290.0,263.9726999756096,99.88071299997614,480.1399249999889,129703.0,0.6942938029901209,0.0,290,300,310,380,390,400,480,480,480,480,480
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-1122d015.system.js,41,0,200.0,201.03716995121638,98.68032699998253,483.7033169999927,20575.0,0.6942938029901209,0.0,200,210,280,290,300,400,480,480,480,480,480
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-a3eb4831.system.js,41,0,170.0,182.07290109756306,98.06232799999748,469.0085230000136,2309.0,0.6942938029901209,0.0,170,200,210,280,300,390,470,470,470,470,470
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-ec904422.system.js,41,0,100.0,152.2875657073167,97.92301999999609,297.3758090000018,1969.0,0.6942938029901209,0.0,100,190,200,200,280,290,300,300,300,300,300
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-fba65a86.system.js,41,0,130.0,179.51498992683167,97.94970499999067,496.986048000025,2280.0,0.6942938029901209,0.0,130,200,200,230,300,400,500,500,500,500,500
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/ng-layer-tune.esm.js,41,0,200.0,221.65543399999777,98.45476600000325,391.43842500000403,945.0,0.6942938029901209,0.0,200,280,290,290,300,380,390,390,390,390,390
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/p-9649e2d0.js,41,0,170.0,182.9192508536614,98.83565000001227,399.66010700001675,17882.0,0.6942938029901209,0.0,170,200,260,270,300,380,400,400,400,400,400
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/p-e7f71eaa.js,41,0,120.0,179.34967678048375,98.16431099997658,490.3296150000074,180.0,0.6942938029901209,0.0,120,210,220,270,380,390,490,490,490,490,490
GET,/viewer/lib/three-surfer/dist/bundle.js,41,0,510.0,495.2526346341471,110.28795299999672,897.5811990000011,761764.0,0.6942938029901209,0.0,510,600,600,610,690,790,900,900,900,900,900
GET,/viewer/main.bundle.js,41,0,690.0,685.8785296097556,200.79498699999476,1387.2458419999987,1388728.0,0.6942938029901209,0.0,690,840,890,990,1100,1200,1400,1400,1400,1400,1400
GET,/viewer/main.js,41,0,310.0,385.0798833170756,108.5670749999963,1003.3120509999947,725487.0,0.6942938029901209,0.0,310,500,570,590,800,880,1000,1000,1000,1000,1000
GET,/viewer/plugins/manifests,41,0,110.0,157.52930385365764,99.54750399998602,299.64264399998797,246.0,0.6942938029901209,0.0,110,200,200,200,270,290,300,300,300,300,300
GET,/viewer/runtime.js,41,0,180.0,182.24539675609654,97.91347300000552,435.3115909999872,1193.0,0.6942938029901209,0.0,180,200,270,280,290,300,440,440,440,440,440
GET,/viewer/styles.css,41,0,220.0,300.6242004146353,101.31728500002168,831.3432399999954,410961.0,0.6942938029901209,0.0,220,400,480,490,520,580,830,830,830,830,830
GET,/viewer/user,41,41,110.0,128.21222668292467,97.34740799999031,305.03830300000345,17.0,0.6942938029901209,0.6942938029901209,110,110,120,160,190,200,310,310,310,310,310
GET,/viewer/vendor.js,41,0,410.0,565.1246249756114,110.86668599999427,1405.952620000022,1675703.0,0.6942938029901209,0.0,410,820,900,930,1100,1300,1400,1400,1400,1400,1400
GET,/viewer/version.css,41,0,110.0,156.03931136585388,99.09884399999669,716.5135239999927,27.0,0.6942938029901209,0.0,110,170,190,190,190,200,720,720,720,720,720
